2019-09-13 10:36:36.543711: kill 0, damage 0.
2019-09-13 11:24:49.093375: kill 0, damage 0.
2019-09-13 11:25:55.554098: kill 1, damage 1.
2019-09-13 11:32:39.537359: kill 0, damage 0.
2019-09-13 11:42:56.810999: kill 2, damage 3.
2019-09-13 11:55:51.898117: kill 3, damage 2.
2019-09-13 11:57:45.973252: kill 1, damage 1.
2019-09-13 12:08:27.714330: kill 0, damage 0.
2019-09-13 12:10:35.487098: kill 0, damage 0.
2019-09-13 12:27:21.273525: kill 6, damage 0.
2019-09-13 12:33:42.717092: kill 0, damage 0.
2019-09-13 12:34:48.655814: kill 0, damage 0.
2019-09-13 12:38:11.251216: kill 0, damage 0.
2019-09-13 12:39:15.435506: kill 0, damage 0.
2019-09-13 12:52:43.319154: kill 0, damage 0.
2019-09-13 12:56:28.333047: kill 0, damage 0.
2019-09-13 12:59:04.511082: kill 0, damage 0.
2019-09-13 13:04:35.011796: kill 0, damage 0.
2019-09-13 13:22:44.144963: kill 0, damage 0.
2019-09-13 13:44:58.260524: kill 0, damage 0.
2019-09-13 13:45:30.030038: kill 0, damage 0.
2019-09-13 13:46:55.256457: kill 0, damage 0.
2019-09-13 13:49:54.932097: kill 3, damage 1.
2019-09-13 13:51:02.988594: kill 0, damage 0.
2019-09-13 13:59:03.160474: kill 5, damage 1.
2019-09-13 14:01:23.563756: kill 7, damage 0.
2019-09-13 14:05:21.522737: kill 0, damage 0.
2019-09-13 14:07:06.188373: kill 2, damage 2.
2019-09-13 14:10:18.218223: kill 1, damage 2.
2019-09-13 14:13:09.850768: kill 6, damage 0.
2019-09-13 14:14:46.055106: kill 7, damage 0.
2019-09-13 14:16:22.970990: kill 5, damage 0.
2019-09-13 14:18:20.703945: kill 2, damage 2.
2019-09-13 14:30:48.942128: kill 3, damage 2.
2019-09-13 14:33:34.655234: kill 5, damage 0.
2019-09-13 14:43:06.863986: kill 4, damage 1.
2019-09-13 14:47:15.849586: kill 4, damage 0.
2019-09-13 14:49:09.051315: kill 3, damage 0.
2019-09-13 15:09:37.426974: kill 3, damage 1.
2019-09-13 15:23:47.959483: kill 6, damage 0.
2019-09-13 15:25:53.113369: kill 0, damage 0.
2019-09-13 15:28:07.390670: kill 4, damage 1.
2019-09-13 15:31:20.287036: kill 4, damage 1.
2019-09-13 15:35:06.275992: kill 5, damage 5.
2019-09-13 15:39:20.545364: kill 0, damage 0.
2019-09-13 15:44:11.671829: kill 6, damage 0.
2019-09-13 15:46:18.762185: kill 0, damage 0.
2019-09-13 15:49:46.224805: kill 6, damage 0.
2019-09-13 15:53:29.285943: kill 4, damage 1.
2019-09-13 15:58:30.689395: kill 4, damage 1.
2019-09-13 16:02:32.879902: kill 5, damage 1.
2019-09-13 16:04:34.054453: kill 4, damage 2.
2019-09-13 16:07:39.312202: kill 6, damage 1.
2019-09-13 16:19:29.393830: kill 2, damage 4.
2019-09-13 16:21:30.188870: kill 6, damage 3.
2019-09-13 16:27:18.582250: kill 7, damage 1.
2019-09-13 16:29:11.874147: kill 2, damage 5.
2019-09-13 16:31:03.936092: kill 0, damage 0.
2019-09-13 16:34:58.971135: kill 0, damage 0.
2019-09-13 16:37:43.297419: kill 8, damage 0.
